Idade,Renda,Tempo_Cliente,Interacoes,Compra
45,11816,7,16,1
61,4049,9,35,0
29,7283,7,32,0
56,11301,1,5,1
43,5247,9,37,0
30,13417,3,2,0
25,7574,2,9,0
45,10655,9,10,1
47,6331,2,22,1
26,1399,9,45,0
56,11913,5,3,1
48,2937,6,6,1
38,13828,7,25,0
64,9373,7,41,1
51,2074,4,32,0
48,3573,4,40,0
69,3397,5,41,0
42,10273,9,34,1
29,1418,1,27,0
18,10352,8,40,0
39,1639,8,49,0
57,3084,7,34,0
54,5589,6,38,1
64,1358,3,15,0
18,2803,8,9,1
18,6204,7,6,1
59,8889,8,6,1
59,1538,2,24,1
38,5439,8,4,1
32,7888,7,25,0
34,11410,6,29,0
39,10905,9,10,0
55,1865,8,6,1
52,11259,5,38,1
62,7028,5,25,1
33,11542,9,35,0
25,9967,8,21,0
64,14284,4,11,1
34,12460,9,21,1
34,5671,6,1,1
43,12819,5,39,0
30,2035,7,11,1
34,9552,9,0,1
55,3819,1,14,0
34,9487,9,39,1
65,2426,5,6,0
31,12701,9,37,1
62,12008,5,36,1
23,6494,7,45,0
52,12057,7,21,1
63,1692,9,32,0
31,13787,5,32,0
64,8593,7,28,0
25,2067,5,42,0
32,2132,4,18,1
44,10313,1,4,1
30,8612,5,13,1
66,10433,4,46,0
48,1946,1,8,0
52,12339,1,4,0
23,2615,5,34,0
22,13851,9,20,1
39,9254,1,45,0
66,6715,8,42,0
40,7069,9,27,1
42,1393,4,44,0
51,10718,8,1,1
43,8534,1,47,0
64,10693,4,5,1
22,8422,2,30,0
43,7202,4,31,1
37,1519,2,10,1
23,1388,3,13,0
23,1587,1,9,0
67,4497,3,38,0
35,12253,7,0,1
21,14901,8,30,1
34,13923,6,7,1
31,8669,1,1,1
31,3571,7,34,0
30,9471,3,30,0
24,12308,9,11,1
61,7708,2,30,1
32,12664,9,34,0
36,11176,2,31,0
60,11473,2,16,1
64,13473,4,7,0
61,9996,2,18,0
52,9266,7,35,1
34,3985,3,10,0
52,1709,4,43,0
36,4662,1,4,1
37,14479,4,27,0
53,5630,4,1,1
52,2430,4,10,0
49,14541,9,17,1
65,5991,3,46,0
61,6067,7,48,1
57,9838,4,4,1
41,3038,1,18,1
34,5133,3,4,1
24,6351,9,39,0
60,13130,6,18,1
67,3215,8,11,0
18,4356,9,35,0
52,1102,8,27,0
49,9336,5,45,1
53,9946,6,47,0
30,13249,2,34,0
23,7803,9,37,1
31,5461,6,22,0
54,7296,8,33,1
65,7565,7,22,0
32,7462,2,32,1
64,11022,2,41,1
21,12901,5,12,1
57,1082,3,33,0
33,10503,1,28,0
45,8963,3,29,0
33,6990,7,17,1
21,14800,9,34,1
62,12531,4,4,1
43,6752,8,3,1
45,12886,6,4,1
49,7222,4,38,1
62,13123,3,14,1
19,12639,5,45,1
48,4668,3,8,1
20,2615,8,45,0
25,5246,6,49,0
41,11995,6,7,1
32,14017,7,43,0
60,3062,7,9,1
48,13388,8,21,1
26,9971,5,23,0
56,8555,5,23,1
62,2058,6,8,0
19,3398,4,21,0
25,12196,2,33,1
24,3330,2,47,0
61,13924,2,11,1
68,2759,2,16,1
56,14984,5,3,1
59,13812,2,48,0
33,13452,7,29,1
52,1427,4,35,0
47,6377,5,0,1
27,6029,2,32,1
55,4876,1,26,1
35,11682,9,13,1
67,3116,6,3,0
22,11513,5,34,0
46,1559,5,32,0
56,14136,2,49,1
51,6441,8,11,1
60,10577,4,3,0
62,3617,4,33,0
40,11146,8,13,0
22,1589,4,1,1
47,1498,1,26,0
23,7347,4,41,0
63,8904,1,30,1
61,12014,6,32,1
21,10721,2,26,1
46,10830,9,44,1
40,10324,4,27,0
23,8432,8,33,0
49,6956,2,29,1
59,5483,5,36,1
35,9607,8,33,0
32,5996,1,0,0
57,2591,6,12,0
49,5407,2,17,1
26,4883,5,39,0
54,2607,1,0,1
27,4724,4,8,0
37,8555,3,5,1
23,10907,5,7,0
65,1202,8,7,0
20,4854,9,23,1
59,13151,5,48,0
28,9301,9,24,0
60,13369,4,25,1
34,14907,5,25,1
49,1768,9,38,0
21,1138,9,39,1
21,1220,2,33,0
34,8356,5,7,0
58,10052,8,45,1
36,4927,1,1,1
22,3387,4,17,0
49,3525,8,15,0
39,6054,2,27,0
23,10637,1,7,0
52,7956,6,17,1
39,2609,6,38,1
18,6443,1,41,1
37,14571,3,18,1
39,1198,8,31,0
65,12055,9,31,0
28,6984,8,41,0
30,10352,1,47,0
59,2369,4,20,1
20,4571,9,28,1
26,11414,1,44,0
29,1488,4,4,1
40,4540,7,19,1
31,12059,7,21,1
50,11619,7,48,1
35,11069,4,26,1
66,13729,8,42,0
58,10056,3,0,1
26,3180,9,12,0
40,12220,6,32,1
27,12290,7,38,0
36,4328,9,5,1
64,4634,4,12,1
22,1655,5,13,1
64,6986,1,7,1
69,10571,8,2,1
40,1235,2,36,0
47,1988,5,47,0
42,2382,5,11,0
45,10006,4,7,0
51,12158,4,28,1
62,14582,2,19,1
65,10881,3,22,1
64,6629,2,3,0
42,12992,1,24,1
27,3486,4,31,0
31,2665,9,48,0
59,11827,6,24,1
63,4986,8,4,1
47,9186,2,9,1
58,2823,2,30,1
42,14782,2,3,1
31,6828,8,6,1
52,6430,1,33,0
69,6336,5,40,1
65,5088,4,20,1
51,1610,1,18,0
27,10527,7,6,1
52,4868,1,33,0
28,5325,6,32,0
28,12884,1,41,0
38,5435,9,20,0
38,12758,3,49,0
39,11403,2,37,0
62,3163,7,16,1
24,9262,1,45,1
34,2749,7,16,1
19,5945,9,14,1
29,6172,4,7,0
59,14908,2,48,0
35,1341,4,36,0
28,14222,9,18,1
33,5683,8,28,0
66,12018,5,37,0
68,4831,8,32,0
35,3379,7,27,0
52,7105,4,39,1
43,4869,3,32,0
33,14390,1,6,1
23,13394,3,34,1
61,7068,8,7,1
60,12465,9,6,1
64,3439,9,44,0
64,13517,5,20,1
65,8906,4,48,0
59,11259,6,24,0
29,14634,7,2,1
30,12731,6,31,1
21,8857,5,47,0
56,13939,2,10,0
19,6429,3,20,0
43,1471,9,31,0
44,9059,7,1,1
44,4765,2,22,1
32,13361,1,44,0
25,8826,1,9,1
24,8912,1,13,0
64,9845,6,8,1
63,14747,5,18,1
57,1461,7,2,0
29,2173,5,31,0
30,2667,9,22,1
60,12937,1,18,1
34,4321,9,11,0
34,9831,4,22,1
53,5369,7,13,1
38,9673,2,35,1
25,9273,3,47,0
22,12495,4,41,0
43,5126,5,2,0
33,3793,2,9,0
53,10299,7,21,1
45,14283,6,3,1
46,7185,9,14,0
64,4785,7,34,0
29,1250,2,48,0
54,11626,3,43,1
47,2620,3,4,1
40,14283,8,27,1
33,10910,8,48,0
31,9457,3,39,0
27,1021,8,45,0
24,14718,5,26,0
62,3123,4,14,1
69,2510,4,29,0
54,4852,4,7,1
46,5775,1,48,0
20,12130,7,19,1
32,8008,4,12,1
53,4422,2,5,1
64,9431,1,0,1
63,9242,3,45,0
69,4007,1,41,1
36,9667,5,49,0
30,11196,6,17,1
59,14913,6,5,1
38,14181,6,48,1
54,1156,7,35,0
44,7342,1,48,0
69,14311,4,25,1
46,8598,9,33,0
37,5761,2,35,0
42,11975,8,16,1
23,3019,7,24,1
53,6237,7,27,0
19,10878,3,14,0
39,8923,2,3,1
49,5170,2,26,0
33,6047,3,32,0
35,13050,3,19,1
22,3414,2,20,1
53,11995,7,39,1
47,12441,2,40,0
62,3155,6,9,0
36,11018,5,43,0
40,14790,7,31,1
51,4757,7,38,1
30,1092,8,36,1
60,7243,4,25,1
46,13468,5,21,1
53,9862,4,39,0
39,3143,7,49,0
69,9423,3,12,1
69,6971,2,31,0
64,13181,4,8,1
53,2602,5,36,0
26,3951,1,41,1
56,10964,3,38,1
68,11258,8,15,0
36,2310,5,33,0
55,8967,1,9,0
23,7246,4,23,1
69,1158,8,9,0
64,4778,8,44,0
32,2586,2,25,0
37,1377,9,33,0
26,4295,1,36,0
49,9905,8,3,1
21,13379,8,28,0
67,11415,6,21,1
35,14421,1,24,1
22,13263,9,10,1
37,11974,3,45,1
40,9929,1,19,1
28,3500,7,23,0
54,12338,5,46,1
39,2863,2,30,1
21,8888,1,24,1
46,1491,6,4,0
61,9113,1,30,1
51,12196,6,43,1
30,8501,1,22,0
59,12805,7,16,0
26,10721,7,1,1
59,8410,4,1,1
48,8731,7,26,1
24,1945,8,21,0
21,12832,8,16,0
36,9893,3,32,0
59,14390,8,4,0
47,13148,3,12,1
48,3484,5,16,0
52,3755,1,42,0
38,8628,7,19,1
48,12460,8,19,1
36,12294,4,27,1
48,11059,7,11,0
49,13317,7,19,1
19,8817,6,6,1
69,12997,5,4,1
27,4033,4,28,1
19,13971,5,24,1
19,1389,7,10,0
41,8834,8,40,0
34,10435,4,10,1
49,4347,5,31,0
33,1011,6,37,0
33,10708,9,17,0
63,2620,6,14,0
56,10949,7,16,1
48,9240,8,23,0
60,10907,3,43,0
41,7153,5,18,0
18,9178,4,36,1
28,9452,1,4,0
38,9511,4,38,1
21,13473,2,3,1
24,11468,4,0,1
43,2927,2,29,1
64,7813,4,16,1
67,3832,4,42,0
29,7978,3,35,0
48,5116,5,49,1
34,1015,9,29,0
50,11719,1,42,1
28,4866,7,49,0
45,13293,1,17,0
49,3345,1,35,0
18,10132,2,0,1
64,9450,6,4,1
45,2063,9,17,0
59,1275,3,28,0
24,11983,5,16,1
19,3566,8,20,0
59,5922,6,1,1
41,2930,3,35,0
21,4582,2,19,0
61,2331,3,18,0
36,9066,6,17,0
43,10748,5,42,0
28,14236,8,12,1
57,1479,2,46,0
67,5509,2,10,0
60,4046,4,32,1
28,12786,9,48,1
62,2488,5,27,0
20,14720,7,42,1
29,9152,7,41,0
20,12016,6,43,1
59,3092,6,20,1
44,1829,9,29,0
66,14582,4,46,1
19,13562,2,31,0
66,11126,7,22,1
33,14734,6,24,1
19,14815,4,31,1
47,8655,1,36,0
37,3700,4,40,0
55,9335,6,30,1
45,5930,3,12,1
42,3804,1,5,1
49,11078,2,0,0
27,8990,6,7,1
59,7336,1,22,1
57,11786,6,46,1
50,9975,1,4,1
30,7016,1,28,0
58,5273,6,21,1
59,12021,1,4,1
64,7461,9,16,0
54,8558,2,17,1
33,3198,9,44,1
62,9802,5,38,1
39,12710,5,0,1
37,9732,8,30,1
67,11389,1,23,1
60,8375,9,15,1
44,14660,1,4,1
58,11501,5,47,1
33,8889,8,31,1
51,1412,1,25,0
49,8256,5,34,0
43,6868,3,42,1
42,10975,8,40,1
19,6377,3,23,1
29,13779,8,43,0
57,10919,2,14,1
26,6727,3,22,1
29,14407,1,10,0
43,14288,1,29,1
26,2427,4,44,0
27,4510,5,29,0
49,2637,3,5,1
51,5576,2,45,0
65,9371,1,4,1
37,4396,3,47,0
56,5677,1,44,1
19,6525,6,13,1
18,14780,3,29,1
68,8122,4,3,1
53,2642,8,5,0
41,2294,5,38,0
44,10774,5,17,1
19,4536,8,38,0
48,8787,4,41,1
31,9555,8,24,0
19,3116,5,16,0
46,11547,6,32,1
32,13710,1,37,1
29,3561,9,11,0
54,12308,4,16,1
45,7039,1,24,0
37,8400,7,48,0
56,8868,4,36,0
41,7265,5,16,1
38,3542,7,26,1
27,7720,7,30,1
63,5020,9,13,0
31,1883,9,35,0
54,2172,7,21,1
35,10976,9,4,1
41,8038,5,39,1
31,6595,2,5,0
51,5674,9,39,1
29,13160,6,4,1
39,8738,6,23,0
23,11354,9,21,1
53,11867,1,13,0
62,13524,2,24,1
53,11286,3,19,1
39,11513,1,0,1
31,9304,4,48,0
33,7688,2,34,1
53,7542,3,36,1
42,9983,8,27,0
49,2315,4,28,0
50,11555,9,39,0
62,4233,6,7,0
53,1050,1,17,0
37,12687,6,30,0
35,1143,7,20,0
55,4687,4,5,0
20,6801,8,8,0
40,11767,3,29,0
49,6252,7,43,0
62,6618,7,17,0
33,5485,4,29,0
22,8337,1,19,0
21,9151,6,9,0
38,11212,7,12,1
57,14471,3,40,1
68,9116,5,1,1
31,4730,8,4,1
56,9940,7,32,1
48,14998,2,0,1
31,14895,4,36,1
23,10066,7,11,1
29,3944,9,40,0
33,5803,7,27,0
34,2208,8,17,0
62,4733,9,35,0
40,1213,1,29,1
31,14405,3,41,0
24,13300,6,37,0
63,7566,8,20,1
49,2818,7,38,0
32,4494,6,6,1
61,1485,4,4,1
34,8544,8,34,0
58,4015,4,14,1
64,12915,6,8,1
61,4479,3,47,0
51,7929,7,17,0
22,13406,6,11,0
62,7414,7,26,0
44,13219,5,13,1
69,14199,5,12,1
40,6216,2,29,0
57,5937,6,35,1
31,4118,1,48,1
32,1663,7,40,0
60,2023,3,8,0
50,7316,2,33,0
48,14074,7,11,1
52,5442,9,49,0
34,1236,1,24,1
45,7686,6,49,0
36,12476,8,21,1
63,4343,2,4,0
40,7550,5,14,0
49,3125,4,42,0
57,8958,3,46,0
30,14864,8,17,1
37,4217,2,12,0
52,2955,1,14,0
22,7155,1,24,0
26,8927,5,33,0
46,1228,9,1,0
23,5938,4,20,1
42,6060,7,22,0
48,12604,2,16,1
39,7815,3,3,1
19,3886,9,40,1
62,13451,5,47,1
22,14991,6,0,1
44,13669,3,6,1
42,7874,6,30,1
25,13869,8,34,1
18,14733,1,20,1
37,8605,8,11,0
61,3819,8,4,1
40,3989,7,2,0
49,10278,4,11,0
28,8138,1,9,1
56,2993,2,45,0
64,13533,3,49,1
41,4045,5,29,0
28,7193,3,16,0
46,4305,8,43,0
43,2992,6,42,0
33,4599,3,18,1
52,4587,2,17,0
37,2305,3,25,0
63,7363,2,27,1
20,6467,3,48,0
18,5459,9,31,0
64,6087,1,38,1
18,1919,3,19,0
34,9233,7,20,1
19,2282,2,45,1
46,14502,3,43,1
37,12757,6,15,1
23,7109,2,11,1
25,3120,1,0,1
46,12337,2,45,1
65,11874,4,31,0
68,14893,5,13,1
50,5496,1,13,1
20,4150,4,18,1
52,14559,5,0,1
22,6306,4,24,0
44,12916,2,41,1
61,2833,1,48,0
29,8723,4,44,0
37,6878,2,12,0
62,11709,9,3,1
37,13028,4,19,1
26,6009,3,3,1
56,4862,7,40,1
21,1128,3,5,0
68,13666,8,47,0
36,12378,5,25,1
55,2345,4,41,0
44,11628,1,26,0
62,12025,5,21,0
60,13751,9,28,1
30,8369,8,48,0
30,14940,4,38,1
39,8132,9,39,1
45,5642,7,1,1
69,13696,2,35,1
64,13905,7,22,1
62,14048,4,18,1
39,4223,5,15,0
60,4476,1,23,1
36,6097,4,33,1
25,11730,2,24,0
69,12046,9,10,1
25,14473,8,4,1
59,10627,3,19,0
43,9447,7,13,0
65,6722,7,20,0
68,11609,6,25,1
43,10945,3,43,1
40,5746,9,37,0
60,14602,9,14,1
30,4411,6,41,0
45,1075,3,20,1
26,4611,4,15,0
37,9001,5,10,0
36,9696,9,47,0
65,4392,3,13,0
56,11184,9,20,1
68,13949,5,15,1
29,6111,6,1,0
32,12570,2,41,1
48,7119,2,1,1
31,3394,2,27,0
28,2416,7,4,1
43,14510,6,7,1
59,8843,7,8,1
44,11421,3,16,1
28,9431,4,18,0
55,7053,6,47,0
51,2777,3,41,0
60,7314,1,25,1
36,6764,6,30,1
23,13452,2,33,1
63,14241,7,28,0
69,5158,5,9,1
55,11594,1,39,0
66,5146,9,10,1
59,3631,2,32,0
45,13098,2,30,1
18,12202,4,21,1
52,6440,2,28,1
57,4389,6,40,0
25,13268,5,20,0
69,10406,3,39,0
64,1669,2,11,0
24,4561,6,15,1
28,7233,2,42,0
56,6541,4,25,0
21,8658,5,29,0
42,9807,8,22,1
29,5658,1,32,1
43,8421,7,23,0
55,10322,6,5,1
63,8461,3,45,1
29,6630,1,33,1
60,6355,2,18,0
68,10713,1,22,0
54,9012,3,24,1
63,5451,1,28,0
41,3664,5,15,1
33,5862,6,1,0
30,9495,1,28,1
42,13171,1,32,1
69,11086,4,17,1
21,2515,4,43,0
28,1583,8,8,0
49,9558,7,1,1
66,14953,7,4,1
24,11238,9,49,0
63,9650,8,19,1
28,1119,3,3,1
45,4284,4,4,0
58,8908,8,16,1
40,4254,5,4,0
62,14957,5,49,1
40,14789,8,7,1
67,12757,8,31,1
45,12494,6,24,1
60,5459,9,24,0
64,6565,4,24,0
43,2968,1,41,0
42,3531,2,30,0
46,10043,1,27,1
36,14237,4,46,1
50,7389,9,14,1
53,2929,6,42,0
31,2943,6,26,1
31,9955,6,38,0
52,4296,1,13,0
47,6276,1,12,1
45,11870,3,31,1
34,6725,5,43,0
20,13003,2,34,0
33,1901,1,47,0
63,10710,9,43,0
47,6965,1,13,1
69,4256,4,43,1
46,6506,9,35,0
62,13178,2,38,1
32,9933,3,4,1
63,4553,4,46,0
42,8432,2,7,1
68,2693,2,9,1
55,7495,6,1,0
59,3129,5,30,0
64,5011,5,38,1
69,4252,9,24,0
55,2365,7,33,0
40,9387,9,14,1
42,7203,1,41,0
59,1150,2,16,1
24,6180,5,21,1
39,14958,7,46,1
34,5523,8,47,1
35,8094,7,32,0
66,1330,9,5,0
58,12302,3,17,1
27,4324,5,29,1
27,10081,6,2,0
24,1954,7,30,0
65,12881,7,11,0
67,8400,4,9,1
55,5449,1,35,1
44,12140,8,5,1
69,12433,1,30,1
50,7360,1,35,0
18,11587,9,32,0
61,3044,3,9,1
51,6645,9,37,0
21,7554,1,25,0
34,4599,7,15,0
21,7874,5,23,1
60,8041,4,40,1
43,6010,5,23,0
21,4990,1,8,0
18,8848,7,24,0
24,6645,2,43,1
47,13206,9,22,1
67,11247,5,2,1
26,11862,5,31,0
52,2575,3,9,1
25,6019,2,46,0
41,7723,8,34,0
36,6754,9,21,0
53,11044,3,13,1
67,3213,8,24,1
69,2226,6,14,1
60,10855,9,29,1
44,9555,4,30,0
49,2947,3,13,1
31,6544,7,7,1
35,5753,1,7,1
45,4632,3,30,1
46,6588,7,36,1
33,12673,7,36,1
52,7658,9,2,0
64,10466,9,32,0
48,10637,7,11,1
21,5827,3,31,0
54,12149,3,31,1
34,7138,5,20,1
56,12648,9,42,0
65,6979,1,9,1
63,14539,1,43,1
43,11357,9,40,1
65,10201,7,41,1
56,6386,4,25,0
58,6287,1,12,0
21,12011,6,8,1
47,10920,9,32,0
47,9887,6,30,0
39,5617,5,11,1
28,3384,1,22,0
19,14638,9,24,1
61,10574,9,28,0
29,11687,1,32,0
47,7796,4,17,0
53,4605,1,40,0
35,11039,4,43,1
43,8033,7,11,0
24,10920,8,35,1
18,7747,3,3,1
43,14408,3,12,1
40,9844,5,30,0
43,8936,6,21,1
62,1758,3,45,1
23,2279,6,36,0
23,1441,7,38,0
61,13696,6,29,1
25,14097,6,33,1
41,7228,2,30,0
39,12680,4,5,1
36,8716,1,25,1
54,12765,5,48,1
35,13984,3,44,0
48,5193,3,12,1
54,4970,4,28,1
47,13829,9,49,1
59,2526,6,25,0
50,1190,8,38,0
27,2873,5,21,0
54,8958,6,3,1
29,12207,3,34,0
47,8368,7,4,1
44,8489,9,27,1
56,8868,9,20,0
26,9449,7,8,0
38,9346,3,9,1
29,12183,5,39,0
46,6606,9,32,0
50,13285,9,39,0
60,4902,3,42,0
32,11467,5,4,1
19,7660,1,8,1
69,12774,7,16,1
56,9085,2,32,1
61,13361,6,16,1
35,3412,6,5,1
20,1023,7,26,0
24,7624,3,26,0
60,8958,8,45,0
35,2741,5,13,0
61,14969,4,4,1
55,4160,9,16,1
54,12797,9,3,1
50,4371,2,40,0
61,11283,1,6,0
48,10252,3,36,1
28,14785,8,13,1
21,4351,4,12,0
35,1460,5,28,1
21,14480,5,48,0
66,3117,2,33,1
51,7356,1,33,0
46,2606,8,37,0
41,14201,5,38,1
39,1071,2,47,0
19,14115,7,24,1
61,7351,2,34,1
23,13464,6,19,1
59,1706,9,30,0
42,2928,4,45,0
38,14171,5,43,1
33,3798,1,24,0
48,10369,1,28,0
31,9345,9,49,0
56,1029,5,49,0
45,14338,3,45,1
49,6071,2,33,1
45,4311,7,9,1
68,13018,4,18,0
66,7787,3,38,0
26,13978,2,10,1
62,2874,4,39,0
39,9428,9,39,1
49,11377,7,35,1
22,13917,1,22,1
40,9809,3,43,0
22,2571,5,37,0
59,8213,7,24,0
49,14927,5,43,1
27,3437,9,48,0
56,8531,7,44,0
32,13647,1,20,0
24,1581,6,37,0
46,3254,2,26,0
64,6852,6,1,1
20,1600,3,5,0
36,10170,2,34,1
27,9706,3,8,1
45,1809,4,19,0
46,3485,1,32,1
32,8398,4,46,1
52,2446,6,28,0
23,1468,5,26,0
29,1629,5,0,0
64,4382,9,12,1
55,7538,9,2,0
30,1113,9,0,0
46,2225,7,19,0
36,6483,9,39,0
20,13534,8,25,1
25,2616,8,11,0
25,4317,5,5,0
37,8351,9,49,0
64,8580,8,8,1
21,7416,7,35,0
68,5640,8,19,1
38,6733,9,9,1
20,14588,7,9,1
62,11862,9,30,0
25,6618,8,19,0
40,5813,2,24,1
33,14065,3,44,1
30,12260,6,30,0
20,3537,6,46,0
65,4174,7,40,0
26,8974,2,8,0
31,11829,1,40,1
30,3222,5,48,0
24,9021,2,23,1
32,1051,9,3,0
24,3344,3,36,0
55,11414,2,44,1
51,6064,7,23,1
58,7486,6,13,0
39,6830,8,7,0
41,5695,9,48,0
66,5266,3,26,1
54,12300,8,41,0
61,2658,4,29,0
18,8368,2,49,0
27,6183,4,13,0
60,12749,4,39,1
33,13742,8,39,0
63,14014,8,17,1
25,14720,7,12,1
66,10078,4,28,0
42,12245,2,27,1
67,11994,1,47,1
29,11389,2,49,0
42,6621,2,3,0
34,5010,3,26,1
43,1635,5,35,0
63,12206,1,23,1
65,14859,5,23,1
31,13077,7,2,1
58,7421,1,44,1
53,11274,4,18,1
40,1174,2,38,0
60,10248,8,48,0
23,10940,2,8,1
64,11954,1,21,1
22,12660,2,21,1
60,11493,4,15,0
42,9759,5,7,1
35,13610,2,16,1
30,7156,4,47,0
60,10975,7,36,1
31,8707,5,26,1
45,8009,8,34,1
35,3143,9,34,0
45,13630,1,13,1
68,7999,1,42,1
44,11432,3,40,0
49,11750,8,21,1
64,2474,1,21,0
26,6244,2,10,1
57,8248,1,31,0
49,5102,1,26,1
37,1329,9,19,0
45,13370,1,45,1
50,14847,4,33,1
21,3673,7,18,0
63,5622,5,9,1
51,6232,5,12,1
65,7583,7,27,1
20,1889,6,7,0
43,9021,6,21,1
25,9953,8,27,0
23,10215,9,15,1
33,2680,2,16,1
41,6951,4,39,1
65,12448,9,41,0
56,10253,1,48,1
47,7866,8,39,0
62,10095,1,18,1
30,1133,4,48,0
22,7064,9,37,0
42,2125,4,17,1
37,11156,5,36,0
35,14460,9,28,1
64,3039,8,14,0
35,5188,1,20,0
19,3849,3,6,0
27,12403,4,35,1
62,4366,3,47,0
67,3911,9,21,0
64,14061,6,36,0
29,3591,3,5,0
64,5283,8,39,0
30,11375,9,13,1
67,5261,4,16,1
64,12740,5,0,1
28,8134,3,43,1
36,1244,5,1,1
52,14494,2,41,1
56,6128,2,44,1
43,14747,5,37,1
63,10371,7,45,1
31,5925,1,48,0
62,7831,3,35,1
61,2778,1,49,0
41,7310,8,20,1
58,11727,2,4,1
18,9628,6,19,0
68,11462,6,40,0
60,7334,9,21,1
39,6906,6,39,0
40,11016,6,22,0
36,9985,1,0,1
35,13460,7,12,1
29,10472,6,23,1
45,10930,8,24,1
45,9641,1,42,0
50,8668,8,27,0
36,2954,8,3,1
45,9806,1,22,1
69,13513,7,48,1
66,8393,7,3,1
54,9930,7,39,1
43,2631,3,33,1
52,6036,3,19,1
51,13363,8,16,1
52,4665,8,29,0
57,9260,8,27,1
33,11066,3,23,0
55,7874,4,47,1
30,1869,2,30,0
40,10585,3,31,0
39,12662,5,37,0
33,4191,3,28,0
45,4119,4,6,0
65,3115,7,14,1
52,8252,3,44,0
62,13157,1,5,1
63,1376,1,16,0
25,14696,4,32,1
61,11515,1,43,0
39,12007,6,0,1
38,2941,4,2,0
43,1204,5,12,0
57,9936,6,10,1
38,12328,2,11,1
42,8054,1,17,0
58,6948,2,39,1
18,8246,6,15,1
23,10741,9,32,1
40,5420,8,40,0
68,3425,1,3,1
40,12056,5,23,0
60,4973,7,35,1
60,13968,8,46,1
40,1670,7,45,0
49,4417,1,43,0
47,4065,4,6,1
30,2727,4,8,0
60,6976,9,36,1
35,5026,6,18,0
40,8862,6,28,0
32,12124,5,5,1
50,7064,5,35,0
38,4814,9,21,1
56,2703,2,21,0
40,12278,5,37,0
44,8621,1,42,1
62,12456,5,2,1
61,14544,4,24,0
35,8430,4,13,0
41,5541,4,4,1
68,1053,3,17,0
64,1691,6,27,1
57,7066,3,29,0
68,13291,6,35,1
59,9448,6,5,1
24,4432,2,30,0
67,1833,9,17,0
65,11721,8,24,0
37,6794,7,33,0
44,12088,9,7,1
23,10353,8,27,0
44,4522,9,6,1
26,14635,8,33,0
62,9664,3,24,1
48,6860,1,0,1
38,3026,6,42,0
43,10829,3,1,1
57,4548,3,33,0
65,11432,6,31,1
62,11546,9,11,1
30,14046,5,43,1
66,1905,1,25,0
40,7364,7,21,1
37,2183,9,42,0
54,11411,2,30,1
45,14374,9,32,0
34,12836,5,21,1
45,2088,1,47,0
58,2192,4,7,1
19,3128,8,15,0
42,6387,3,27,0
67,4451,5,13,0
58,13033,2,3,1
23,1331,5,23,0
28,10403,9,18,1
55,2048,3,24,0
23,13280,7,46,0
